id;street_address;postal_code;city;state_province
1;Secured Program;Serbia program Hiszpania;West Adamfort;Soft Czechy
2;installation International generating;Chief;Lake Karolburgh;Gold harness
3;neural;e-markets Reverse-engineered Directives;South Marynafort;Outdoors
4;pink;SCSI;East Justynamouth;Fuerte Sports
5;17(E.U.A.-17) Frozen Kości;analyzer;Trzebnica;extend help-desk Cambridgeshire
6;Exclusive cutting-edge;compelling Beauty;Mariaton;Principal mobile
7;infomediaries Indie Licensed;Opolskie JBOD;Pawełchester;Jewelery Bacon
8;Licensed Forward;connect Toys Assurance;East Julialand;methodologies
9;Refined Norwegia synthesize;digital withdrawal;Musiałbury;IB
10;Parks;utilisation Gardens;Zabrze;Bhutanese extensible
